Vsl,Vsg,VisL,VisG,DenL,DenG,ST,Ang,ID,FlowPattern
1.27028,0.08655,0.007,0.00001,860,4.124,0.022,9,0.0258,0
1.2277,0.12915,0.007,0.00001,860,4.124,0.022,9,0.0258,0
2.1557,0.08472,0.007,0.00001,860,4.124,0.022,9,0.0258,0
2.12412,0.12502,0.007,0.00001,860,4.124,0.022,9,0.0258,0
2.07477,0.22429,0.007,0.00001,860,4.124,0.022,9,0.0258,0
2.14912,0.44926,0.007,0.00001,860,4.124,0.022,9,0.0258,0
2.05214,0.09129,0.007,0.00001,860,4.124,0.022,9,0.0258,0
2.00679,0.14429,0.007,0.00001,860,4.124,0.022,9,0.0258,0
2.02268,0.25018,0.007,0.00001,860,4.124,0.022,9,0.0258,0
2.04026,0.46418,0.007,0.00001,860,4.124,0.022,9,0.0258,0
2.02162,0.95258,0.007,0.00001,860,4.124,0.022,9,0.0258,0
2.02268,1.92605,0.007,0.00001,860,4.124,0.022,9,0.0258,0
0.89262,0.05078,0.007,0.00001,860,4.124,0.022,0,0.0512,0
1.26218,0.05044,0.007,0.00001,860,4.124,0.022,0,0.0512,0
1.26821,0.09061,0.007,0.00001,860,4.124,0.022,0,0.0512,0
1.24462,0.14998,0.007,0.00001,860,4.124,0.022,0,0.0512,0
1.84045,0.27944,0.007,0.00001,860,4.124,0.022,0,0.0512,0
1.84881,0.55902,0.007,0.00001,860,4.124,0.022,0,0.0512,0
1.82425,0.82417,0.007,0.00001,860,4.124,0.022,0,0.0512,0
1.8287,1.18502,0.007,0.00001,860,4.124,0.022,0,0.0512,0
2.6422,0.28022,0.007,0.00001,860,4.124,0.022,0,0.0512,0
2.57204,0.5517,0.007,0.00001,860,4.124,0.022,0,0.0512,0
2.22052,0.55715,0.007,0.00001,860,4.124,0.022,0,0.0512,0
2.20272,0.82489,0.007,0.00001,860,4.124,0.022,0,0.0512,0
2.62268,0.82649,0.007,0.00001,860,4.124,0.022,0,0.0512,0
2.58527,1.14059,0.007,0.00001,860,4.124,0.022,0,0.0512,0
2.20711,1.1146,0.007,0.00001,860,4.124,0.022,0,0.0512,0
2.41255,1.88959,0.007,0.00001,860,4.124,0.022,0,0.0512,0
1.98096,0.05045,0.007,0.00001,860,4.124,0.022,-1,0.0512,0
1.98096,0.09902,0.007,0.00001,860,4.124,0.022,-1,0.0512,0
2.00786,0.20587,0.007,0.00001,860,4.124,0.022,-1,0.0512,0
2.01602,0.05022,0.007,0.00001,860,4.124,0.022,-5,0.0512,0
2.00542,0.1012,0.007,0.00001,860,4.124,0.022,-5,0.0512,0
1.97408,0.19896,0.007,0.00001,860,4.124,0.022,-5,0.0512,0
1.96702,0.50502,0.007,0.00001,860,4.124,0.022,-5,0.0512,0
1.97256,0.04846,0.007,0.00001,860,4.124,0.022,-9,0.0512,0
2.00945,0.09876,0.007,0.00001,860,4.124,0.022,-9,0.0512,0
1.98722,0.19667,0.007,0.00001,860,4.124,0.022,-9,0.0512,0
1.96462,0.47624,0.007,0.00001,860,4.124,0.022,-9,0.0512,0
2.10762,0.06156,0.007,0.00001,860,4.124,0.022,1,0.0512,0
2.06712,0.12221,0.007,0.00001,860,4.124,0.022,1,0.0512,0
